Loaded /home/judson/Neural-Networks-in-GNC/inverted_pendulum/training/controller_base.pth as base controller
average_normalized/constant/controllers/controller_185.pth saved with loss: 2.814279556274414
average_normalized/constant/controllers/controller_186.pth saved with loss: 2.8103959560394287
average_normalized/constant/controllers/controller_187.pth saved with loss: 2.8065545558929443
average_normalized/constant/controllers/controller_188.pth saved with loss: 2.802751302719116
average_normalized/constant/controllers/controller_189.pth saved with loss: 2.7989871501922607
average_normalized/constant/controllers/controller_190.pth saved with loss: 2.7952659130096436
average_normalized/constant/controllers/controller_191.pth saved with loss: 2.7915844917297363
average_normalized/constant/controllers/controller_192.pth saved with loss: 2.7879436016082764
average_normalized/constant/controllers/controller_193.pth saved with loss: 2.7843596935272217
average_normalized/constant/controllers/controller_194.pth saved with loss: 2.7809019088745117
average_normalized/constant/controllers/controller_195.pth saved with loss: 2.777543783187866
average_normalized/constant/controllers/controller_196.pth saved with loss: 2.7742998600006104
average_normalized/constant/controllers/controller_197.pth saved with loss: 2.7711868286132812
average_normalized/constant/controllers/controller_198.pth saved with loss: 2.76821231842041
average_normalized/constant/controllers/controller_199.pth saved with loss: 2.7653567790985107
average_normalized/constant/controllers/controller_200.pth saved with loss: 2.762613296508789
average_normalized/constant/controllers/controller_201.pth saved with loss: 2.7599780559539795
average_normalized/constant/controllers/controller_202.pth saved with loss: 2.7574517726898193
average_normalized/constant/controllers/controller_203.pth saved with loss: 2.7550241947174072
average_normalized/constant/controllers/controller_204.pth saved with loss: 2.7526872158050537
average_normalized/constant/controllers/controller_205.pth saved with loss: 2.750434160232544
average_normalized/constant/controllers/controller_206.pth saved with loss: 2.748260259628296
average_normalized/constant/controllers/controller_207.pth saved with loss: 2.746161460876465
average_normalized/constant/controllers/controller_208.pth saved with loss: 2.7441294193267822
average_normalized/constant/controllers/controller_209.pth saved with loss: 2.7421586513519287
average_normalized/constant/controllers/controller_210.pth saved with loss: 2.7402470111846924
average_normalized/constant/controllers/controller_211.pth saved with loss: 2.7383921146392822
average_normalized/constant/controllers/controller_212.pth saved with loss: 2.736588954925537
average_normalized/constant/controllers/controller_213.pth saved with loss: 2.7348344326019287
average_normalized/constant/controllers/controller_214.pth saved with loss: 2.7331271171569824
average_normalized/constant/controllers/controller_215.pth saved with loss: 2.731464147567749
average_normalized/constant/controllers/controller_216.pth saved with loss: 2.729841709136963
average_normalized/constant/controllers/controller_217.pth saved with loss: 2.7282509803771973
average_normalized/constant/controllers/controller_218.pth saved with loss: 2.726694345474243
average_normalized/constant/controllers/controller_219.pth saved with loss: 2.7251687049865723
average_normalized/constant/controllers/controller_220.pth saved with loss: 2.723675489425659
average_normalized/constant/controllers/controller_221.pth saved with loss: 2.72220778465271
average_normalized/constant/controllers/controller_222.pth saved with loss: 2.7207674980163574
average_normalized/constant/controllers/controller_223.pth saved with loss: 2.719362497329712
average_normalized/constant/controllers/controller_224.pth saved with loss: 2.717999219894409
average_normalized/constant/controllers/controller_225.pth saved with loss: 2.7166695594787598
average_normalized/constant/controllers/controller_226.pth saved with loss: 2.715369939804077
average_normalized/constant/controllers/controller_227.pth saved with loss: 2.7141005992889404
average_normalized/constant/controllers/controller_228.pth saved with loss: 2.7128615379333496
average_normalized/constant/controllers/controller_229.pth saved with loss: 2.711651563644409
average_normalized/constant/controllers/controller_230.pth saved with loss: 2.7104685306549072
average_normalized/constant/controllers/controller_231.pth saved with loss: 2.7093148231506348
average_normalized/constant/controllers/controller_232.pth saved with loss: 2.708189010620117
average_normalized/constant/controllers/controller_233.pth saved with loss: 2.7070963382720947
average_normalized/constant/controllers/controller_234.pth saved with loss: 2.7060344219207764
average_normalized/constant/controllers/controller_235.pth saved with loss: 2.705000400543213
average_normalized/constant/controllers/controller_236.pth saved with loss: 2.7039904594421387
average_normalized/constant/controllers/controller_237.pth saved with loss: 2.7030014991760254
average_normalized/constant/controllers/controller_238.pth saved with loss: 2.702031135559082
average_normalized/constant/controllers/controller_239.pth saved with loss: 2.701078414916992
average_normalized/constant/controllers/controller_240.pth saved with loss: 2.700141429901123
average_normalized/constant/controllers/controller_241.pth saved with loss: 2.6992177963256836
average_normalized/constant/controllers/controller_242.pth saved with loss: 2.698310613632202
average_normalized/constant/controllers/controller_243.pth saved with loss: 2.697417736053467
average_normalized/constant/controllers/controller_244.pth saved with loss: 2.696540594100952
average_normalized/constant/controllers/controller_245.pth saved with loss: 2.6956772804260254
average_normalized/constant/controllers/controller_246.pth saved with loss: 2.6948282718658447
average_normalized/constant/controllers/controller_247.pth saved with loss: 2.693993330001831
average_normalized/constant/controllers/controller_248.pth saved with loss: 2.693169116973877
average_normalized/constant/controllers/controller_249.pth saved with loss: 2.692354679107666
average_normalized/constant/controllers/controller_250.pth saved with loss: 2.6915512084960938
average_normalized/constant/controllers/controller_251.pth saved with loss: 2.6907551288604736
average_normalized/constant/controllers/controller_252.pth saved with loss: 2.689970016479492
average_normalized/constant/controllers/controller_253.pth saved with loss: 2.6891934871673584
average_normalized/constant/controllers/controller_254.pth saved with loss: 2.688424825668335
