Random seed for torch and numpy: 4529
Epoch 152/5001 | Loss: 2920.540039 | Time: 1.5402 sec
Epoch 153/5001 | Loss: 2911.919189 | Time: 1.6484 sec
Epoch 154/5001 | Loss: 2903.437256 | Time: 1.5270 sec
Epoch 155/5001 | Loss: 2895.078125 | Time: 1.5111 sec
Epoch 156/5001 | Loss: 2886.790527 | Time: 1.5611 sec
Epoch 157/5001 | Loss: 2878.469727 | Time: 1.6264 sec
Epoch 158/5001 | Loss: 2870.098877 | Time: 1.5343 sec
Epoch 159/5001 | Loss: 2861.793701 | Time: 1.5355 sec
Epoch 160/5001 | Loss: 2853.604980 | Time: 1.5705 sec
Epoch 161/5001 | Loss: 2845.565186 | Time: 1.5002 sec
Epoch 162/5001 | Loss: 2837.667236 | Time: 1.4609 sec
Epoch 163/5001 | Loss: 2829.877197 | Time: 1.4894 sec
Epoch 164/5001 | Loss: 2822.196289 | Time: 1.6309 sec
Epoch 165/5001 | Loss: 2814.612793 | Time: 1.5245 sec
Epoch 166/5001 | Loss: 2807.152344 | Time: 1.5366 sec
Epoch 167/5001 | Loss: 2799.844727 | Time: 1.6172 sec
Epoch 168/5001 | Loss: 2792.706543 | Time: 1.5422 sec
Epoch 169/5001 | Loss: 2785.703125 | Time: 1.5368 sec
Epoch 170/5001 | Loss: 2778.850830 | Time: 1.5844 sec
Epoch 171/5001 | Loss: 2772.121094 | Time: 1.5388 sec
Epoch 172/5001 | Loss: 2765.509766 | Time: 1.5712 sec
Epoch 173/5001 | Loss: 2759.013428 | Time: 1.5620 sec
Epoch 174/5001 | Loss: 2752.592285 | Time: 1.5959 sec
Epoch 175/5001 | Loss: 2746.261719 | Time: 1.5494 sec
Epoch 176/5001 | Loss: 2739.972656 | Time: 1.5222 sec
Epoch 177/5001 | Loss: 2733.759766 | Time: 1.5812 sec
Epoch 178/5001 | Loss: 2727.754639 | Time: 1.5362 sec
Epoch 179/5001 | Loss: 2721.973633 | Time: 1.5405 sec
Epoch 180/5001 | Loss: 2716.468750 | Time: 1.5762 sec
Epoch 181/5001 | Loss: 2711.288086 | Time: 1.5997 sec
Epoch 182/5001 | Loss: 2706.468506 | Time: 1.5577 sec
Epoch 183/5001 | Loss: 2702.037354 | Time: 1.5366 sec
Epoch 184/5001 | Loss: 2697.944580 | Time: 1.6065 sec
Epoch 185/5001 | Loss: 2694.197754 | Time: 1.5219 sec
Epoch 186/5001 | Loss: 2690.784668 | Time: 1.5602 sec
Epoch 187/5001 | Loss: 2687.681152 | Time: 1.6037 sec
Epoch 188/5001 | Loss: 2684.848877 | Time: 1.5597 sec
Epoch 189/5001 | Loss: 2682.247559 | Time: 1.5176 sec
Epoch 190/5001 | Loss: 2679.835449 | Time: 1.5938 sec
Epoch 191/5001 | Loss: 2677.594727 | Time: 1.5614 sec
Epoch 192/5001 | Loss: 2675.514648 | Time: 1.5485 sec
Epoch 193/5001 | Loss: 2673.583252 | Time: 1.5378 sec
Epoch 194/5001 | Loss: 2671.782959 | Time: 1.5279 sec
Epoch 195/5001 | Loss: 2670.110107 | Time: 1.5998 sec
Epoch 196/5001 | Loss: 2668.555176 | Time: 1.5835 sec
Epoch 197/5001 | Loss: 2667.104980 | Time: 1.7103 sec
Epoch 198/5001 | Loss: 2665.746094 | Time: 1.6418 sec
Epoch 199/5001 | Loss: 2664.472656 | Time: 1.5828 sec
Epoch 200/5001 | Loss: 2663.267334 | Time: 1.7676 sec
Epoch 201/5001 | Loss: 2662.118164 | Time: 1.6655 sec
Epoch 202/5001 | Loss: 2661.013916 | Time: 1.6587 sec
Epoch 203/5001 | Loss: 2659.945801 | Time: 1.5979 sec
Epoch 204/5001 | Loss: 2658.906006 | Time: 1.6998 sec
Epoch 205/5001 | Loss: 2657.885498 | Time: 1.5887 sec
Epoch 206/5001 | Loss: 2656.882080 | Time: 1.5310 sec
Epoch 207/5001 | Loss: 2655.891602 | Time: 1.6339 sec
Epoch 208/5001 | Loss: 2654.916260 | Time: 1.5819 sec
Epoch 209/5001 | Loss: 2653.953857 | Time: 1.5420 sec
Epoch 210/5001 | Loss: 2653.004150 | Time: 1.6452 sec
Epoch 211/5001 | Loss: 2652.068604 | Time: 1.5434 sec
Epoch 212/5001 | Loss: 2651.146484 | Time: 1.5494 sec
Epoch 213/5001 | Loss: 2650.239990 | Time: 1.5807 sec
Epoch 214/5001 | Loss: 2649.350098 | Time: 1.6096 sec
Epoch 215/5001 | Loss: 2648.476074 | Time: 1.5859 sec
Epoch 216/5001 | Loss: 2647.616455 | Time: 1.5495 sec
Epoch 217/5001 | Loss: 2646.771240 | Time: 1.6327 sec
Epoch 218/5001 | Loss: 2645.939209 | Time: 1.5684 sec
Epoch 219/5001 | Loss: 2645.119385 | Time: 1.5490 sec
Epoch 220/5001 | Loss: 2644.315918 | Time: 1.5908 sec
Epoch 221/5001 | Loss: 2643.525635 | Time: 1.4800 sec
Epoch 222/5001 | Loss: 2642.749023 | Time: 1.4524 sec
Epoch 223/5001 | Loss: 2641.985107 | Time: 1.5084 sec
Epoch 224/5001 | Loss: 2641.233643 | Time: 1.5624 sec
Epoch 225/5001 | Loss: 2640.492432 | Time: 1.5318 sec
Epoch 226/5001 | Loss: 2639.762939 | Time: 1.5421 sec
Epoch 227/5001 | Loss: 2639.042969 | Time: 1.6093 sec
Epoch 228/5001 | Loss: 2638.333496 | Time: 1.5423 sec
Epoch 229/5001 | Loss: 2637.635254 | Time: 1.5811 sec
Epoch 230/5001 | Loss: 2636.945557 | Time: 1.5610 sec
Epoch 231/5001 | Loss: 2636.265625 | Time: 1.5421 sec
Epoch 232/5001 | Loss: 2635.593262 | Time: 1.4913 sec
Epoch 233/5001 | Loss: 2634.927979 | Time: 1.4987 sec
Epoch 234/5001 | Loss: 2634.270508 | Time: 1.5942 sec
Epoch 235/5001 | Loss: 2633.622070 | Time: 1.5553 sec
Epoch 236/5001 | Loss: 2632.981689 | Time: 1.5329 sec
Epoch 237/5001 | Loss: 2632.348633 | Time: 1.6409 sec
Epoch 238/5001 | Loss: 2631.726318 | Time: 1.5586 sec
Epoch 239/5001 | Loss: 2631.112549 | Time: 1.5499 sec
Epoch 240/5001 | Loss: 2630.510986 | Time: 1.6350 sec
Epoch 241/5001 | Loss: 2629.919922 | Time: 1.5436 sec
Epoch 242/5001 | Loss: 2629.339355 | Time: 1.5357 sec
Epoch 243/5001 | Loss: 2628.766357 | Time: 1.4995 sec
Epoch 244/5001 | Loss: 2628.201172 | Time: 1.6187 sec
Epoch 245/5001 | Loss: 2627.643311 | Time: 1.5481 sec
Epoch 246/5001 | Loss: 2627.092529 | Time: 1.5419 sec
Epoch 247/5001 | Loss: 2626.548340 | Time: 1.6069 sec
Epoch 248/5001 | Loss: 2626.010986 | Time: 1.5520 sec
Epoch 249/5001 | Loss: 2625.481201 | Time: 1.5029 sec
Epoch 250/5001 | Loss: 2624.954834 | Time: 1.6296 sec
Epoch 251/5001 | Loss: 2624.435059 | Time: 1.5217 sec
Epoch 252/5001 | Loss: 2623.921143 | Time: 1.5404 sec
Epoch 253/5001 | Loss: 2623.413818 | Time: 1.4580 sec
Epoch 254/5001 | Loss: 2622.911621 | Time: 1.6011 sec
